                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4516,                 3.7366,                  3.241,                0.79027,                0.03756,                0.03586,                0.01279,                 2.7124,                 2.3992,                 2.2443,             0.00027707,             0.00027707,             0.00027707
                      2,                 2.3087,                 2.0882,                 1.8454,                0.70876,                0.12514,                0.12619,                0.06064,                 1.9688,                 1.7558,                  1.649,             0.00054101,             0.00054101,             0.00054101
                      3,                 1.9596,                 1.6526,                 1.5698,                0.36851,                0.22378,                0.20503,                0.10186,                 1.7228,                 1.3727,                 1.4774,              0.0007912,              0.0007912,              0.0007912
                      4,                 1.7756,                 1.4554,                 1.4482,                0.42386,                0.27192,                0.24101,                0.12648,                  1.688,                 1.3199,                 1.4292,             0.00077115,             0.00077115,             0.00077115
                      5,                 1.6409,                 1.3272,                 1.3691,                0.56646,                0.29662,                0.30094,                0.16145,                 1.4989,                 1.1798,                 1.3316,             0.00075053,             0.00075053,             0.00075053
                      6,                 1.5625,                 1.2401,                 1.3199,                0.55354,                0.34861,                0.35924,                0.19305,                 1.4191,                 1.0932,                  1.286,             0.00072992,             0.00072992,             0.00072992
                      7,                 1.4981,                 1.1761,                 1.2822,                 0.6435,                0.38053,                0.40634,                0.22168,                  1.369,                 1.0717,                 1.2519,              0.0007093,              0.0007093,              0.0007093
                      8,                 1.4443,                 1.1219,                  1.258,                0.55718,                0.39891,                0.40974,                0.22886,                 1.3168,                 1.0251,                 1.2219,             0.00068868,             0.00068868,             0.00068868
                      9,                 1.4064,                 1.0774,                 1.2354,                0.64095,                0.40183,                0.45174,                0.25981,                 1.2661,                0.93945,                 1.1978,             0.00066807,             0.00066807,             0.00066807
                     10,                 1.3729,                 1.0424,                 1.2109,                0.62448,                0.41726,                0.47585,                0.27473,                 1.2404,                0.91245,                 1.1783,             0.00064745,             0.00064745,             0.00064745
                     11,                  1.341,                 1.0094,                 1.1961,                0.58443,                0.45206,                0.49058,                0.27621,                 1.2299,                 0.9074,                 1.1754,             0.00062683,             0.00062683,             0.00062683
                     12,                 1.3159,                0.97271,                 1.1796,                0.55589,                0.49457,                0.50898,                 0.3012,                 1.2063,                0.86057,                 1.1489,             0.00060622,             0.00060622,             0.00060622
                     13,                 1.2848,                0.95268,                 1.1654,                0.64378,                0.48324,                0.54122,                0.31354,                 1.1705,                0.84449,                  1.142,              0.0005856,              0.0005856,              0.0005856
                     14,                 1.2624,                0.91948,                 1.1519,                0.68305,                0.49077,                 0.5554,                0.33268,                 1.1649,                0.82976,                  1.133,             0.00056498,             0.00056498,             0.00056498
                     15,                 1.2521,                0.91103,                 1.1467,                0.67122,                0.54267,                0.60557,                0.35987,                 1.1164,                 0.7839,                 1.1135,             0.00054437,             0.00054437,             0.00054437
                     16,                 1.2331,                0.89096,                 1.1341,                0.64915,                0.55326,                0.60256,                0.35657,                 1.1295,                0.79415,                 1.1126,             0.00052375,             0.00052375,             0.00052375
                     17,                 1.2127,                 0.8726,                 1.1242,                0.69798,                0.52882,                0.61183,                0.36306,                 1.1147,                0.77859,                 1.1059,             0.00050313,             0.00050313,             0.00050313
                     18,                 1.1997,                0.85713,                 1.1196,                0.65908,                 0.5474,                0.62687,                0.38283,                 1.0935,                0.76287,                 1.0977,             0.00048252,             0.00048252,             0.00048252
                     19,                   1.18,                0.83703,                 1.1065,                0.68794,                0.56985,                0.63087,                0.39326,                  1.076,                0.74439,                 1.0833,              0.0004619,              0.0004619,              0.0004619
