                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     20,                 1.1694,                0.83082,                 1.1044,                  0.714,                 0.6053,                0.67071,                0.41485,                 1.0596,                0.72321,                 1.0799,             0.00044128,             0.00044128,             0.00044128
                     21,                 1.1601,                0.81618,                 1.0962,                0.69825,                0.60887,                0.67603,                0.42315,                 1.0378,                0.71133,                 1.0689,             0.00042066,             0.00042066,             0.00042066
                     22,                 1.1444,                0.80294,                 1.0906,                0.74504,                0.57285,                0.67059,                0.43113,                 1.0285,                0.70424,                 1.0682,             0.00040005,             0.00040005,             0.00040005
                     23,                 1.1385,                 0.7955,                 1.0858,                0.76278,                0.60654,                0.69354,                0.44128,                 1.0204,                0.68523,                  1.061,             0.00037943,             0.00037943,             0.00037943
                     24,                 1.1222,                0.77957,                 1.0782,                 0.7658,                0.60466,                0.70115,                0.45178,                 1.0122,                0.67787,                 1.0551,             0.00035881,             0.00035881,             0.00035881
                     25,                 1.1186,                0.77559,                  1.079,                0.74441,                0.61052,                0.69771,                0.44914,                0.99942,                0.67555,                 1.0524,              0.0003382,              0.0003382,              0.0003382
                     26,                 1.1012,                0.75653,                 1.0685,                0.83279,                0.58645,                0.70023,                 0.4575,                0.99146,                0.66318,                 1.0479,             0.00031758,             0.00031758,             0.00031758
                     27,                 1.0959,                0.75811,                 1.0687,                0.76778,                0.65409,                0.71244,                0.46317,                0.98068,                0.65765,                 1.0445,             0.00029696,             0.00029696,             0.00029696
                     28,                 1.0877,                0.74439,                 1.0622,                0.78556,                0.63678,                0.72475,                0.47993,                0.96392,                0.64457,                 1.0341,             0.00027635,             0.00027635,             0.00027635
                     29,                 1.0805,                0.74137,                 1.0556,                0.81653,                0.64648,                 0.7402,                0.48027,                0.96975,                0.64494,                 1.0365,             0.00025573,             0.00025573,             0.00025573
                     30,                 1.0724,                0.72867,                 1.0521,                0.78034,                0.65912,                0.73588,                0.48748,                0.96065,                0.63599,                 1.0295,             0.00023511,             0.00023511,             0.00023511
                     31,                 1.0365,                0.69317,                 1.0364,                0.76337,                0.66547,                0.73497,                0.48478,                0.96361,                0.63941,                 1.0317,              0.0002145,              0.0002145,              0.0002145
                     32,                 1.0128,                0.66992,                 1.0262,                0.80267,                0.61329,                0.74303,                0.48572,                0.96491,                0.63845,                 1.0311,             0.00019388,             0.00019388,             0.00019388
                     33,                 1.0072,                 0.6648,                 1.0239,                 0.7483,                0.69414,                0.76033,                0.49713,                0.95675,                0.63181,                 1.0256,             0.00017326,             0.00017326,             0.00017326
                     34,                0.99463,                0.65879,                 1.0195,                0.75787,                0.70882,                0.75933,                0.50025,                0.94741,                0.62263,                 1.0219,             0.00015265,             0.00015265,             0.00015265
                     35,                0.98569,                0.65047,                 1.0143,                 0.8061,                0.68746,                0.77176,                0.51113,                0.94754,                0.62252,                 1.0207,             0.00013203,             0.00013203,             0.00013203
                     36,                0.97941,                0.64381,                 1.0123,                0.76073,                0.70978,                0.77233,                0.51321,                0.94558,                0.61904,                 1.0212,             0.00011141,             0.00011141,             0.00011141
                     37,                0.96805,                0.63887,                 1.0052,                 0.7631,                0.71533,                0.77661,                0.51715,                0.93648,                0.61607,                 1.0159,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     38,                0.96535,                0.63168,                 1.0031,                0.80238,                0.68891,                0.77966,                0.52053,                0.92898,                0.60832,                 1.0122,              7.018e-05,              7.018e-05,              7.018e-05
                     39,                0.95547,                0.62731,                0.99874,                0.78975,                0.69794,                0.78065,                0.51991,                0.92635,                 0.6081,                 1.0107,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     40,                0.94873,                0.62422,                0.99827,                0.76633,                0.72172,                0.78344,                0.52358,                0.92459,                0.60495,                 1.0089,             2.8947e-05,             2.8947e-05,             2.8947e-05
